n,trial,bf_len,bf_time,bf_mem,hk_len,hk_time,hk_mem,nn_len,nn_time,nn_mem,lk_len,lk_time,lk_mem
7,9,274.9865460168794,0.004167830999989519,0.953125,274.98654601687934,0.0014705529999901046,24.625,294.3914911441107,0.0002368879999892215,1.75,274.9865460168794,0.0008469830000024103,1.75
8,0,240.177020504116,0.030470694000001686,1.1171875,240.177020504116,0.004120286000016904,51.265625,243.8782440111884,0.00032461300000363735,1.75,240.177020504116,0.001147783999982721,1.75
8,1,222.04831653194435,0.030271439000017608,0.96875,222.04831653194435,0.003845751000000064,51.1015625,222.31241906605044,0.00031370400000696463,1.75,222.31241906605044,0.0006050200000231598,1.75
8,2,185.5988471802489,0.02971447100000546,0.96875,185.5988471802489,0.0038215879999938807,51.1015625,185.5988471802489,0.00031715399998688554,1.75,185.5988471802489,0.0006031949999965036,1.75
8,3,309.38872368193364,0.03065824699999098,0.96875,309.38872368193364,0.004086231000002272,51.1015625,315.70298755586174,0.00034211900000968853,1.75,309.38872368193364,0.0011900560000128735,1.75
8,4,179.9974002794894,0.02982120600000826,0.96875,179.9974002794894,0.0038966639999955532,51.1015625,187.72109403088345,0.0003127739999797541,1.75,187.72109403088345,0.0006024510000202099,1.75
8,5,245.1526141878577,0.029677549999973962,0.96875,245.1526141878577,0.003928764000022511,51.1015625,245.1526141878577,0.0003274139999973613,1.75,245.1526141878577,0.0005985760000157825,1.75
8,6,251.18407340194491,0.03475342499999101,0.96875,251.18407340194494,0.0041963920000114285,51.1015625,265.58196114241235,0.0003154959999847051,1.75,257.98814089493845,0.0012324590000218905,1.75
8,7,285.4606258264537,0.029676926000007597,0.96875,285.4606258264537,0.003983471999987387,51.1015625,285.4606258264536,0.00037170600000990817,1.75,285.4606258264537,0.0006033199999819772,1.75
8,8,266.2947492686705,0.029766835000003766,0.96875,266.2947492686705,0.0038102849999859245,51.1015625,285.71242866299986,0.0003140850000136197,1.75,266.2947492686705,0.001160602999988214,1.75
8,9,269.76064937837106,0.03019183500001077,0.96875,269.76064937837106,0.0039924840000082895,51.1015625,307.3225442969562,0.0003177779999816721,1.75,269.76064937837106,0.0011569179999924017,1.75
9,0,307.47101145480855,0.2591635909999752,1.28125,307.47101145480855,0.01925125799999705,175.421875,313.77298731076837,0.00041056800000660587,1.875,307.47101145480855,0.00160479799998825,1.875
9,1,282.2143742653838,0.24264395500000546,1.015625,282.2143742653838,0.013358713000002354,114.9140625,282.2143742653838,0.0004143780000163133,1.875,282.2143742653838,0.0008136600000057115,1.875
9,2,272.6455829096186,0.2597684779999838,1.015625,272.6455829096186,0.013192822999997134,114.9140625,272.6455829096186,0.0004136399999765672,1.875,272.6455829096186,0.0007766509999953541,1.875
9,3,265.11478509880675,0.24589749100002223,1.015625,265.11478509880675,0.013827910000003385,114.9140625,280.69627501063695,0.00042187799999737763,1.875,265.11478509880675,0.0015477929999860862,1.875
9,4,319.4941546699992,0.24471283599999083,1.015625,319.4941546699992,0.01372624500001507,114.9140625,336.5635258006187,0.0004079469999851426,1.875,325.7776358471825,0.0015277440000147635,1.875
9,5,277.4918270922387,0.24458307000000445,1.015625,277.4918270922387,0.013331338000000414,114.9140625,281.4119105159477,0.0004372100000011869,1.875,281.4119105159477,0.0007834900000034395,1.875
9,6,307.9641243666284,0.26408887300001993,1.015625,307.96412436662837,0.017980242999982465,114.9140625,317.7204479064158,0.00043504599997845617,1.875,307.9641243666284,0.0015490879999902063,1.875
9,7,270.8926016226651,0.2463416260000031,1.015625,270.8926016226651,0.013715496000003213,114.9140625,283.56839646107784,0.0004286879999995108,1.875,280.8591629818744,0.0015246179999905962,1.875
9,8,326.8838530689347,0.24454950800000574,1.015625,326.8838530689347,0.014011511999996173,114.9140625,326.8838530689347,0.00040265600000566337,1.875,326.8838530689347,0.0007899400000042078,1.875
9,9,302.90212715490975,0.245777137999994,1.015625,302.90212715490975,0.013445982999996886,114.9140625,302.90212715490975,0.00041826999998306746,1.875,302.90212715490975,0.0007898529999863513,1.875
10,0,256.2136292991479,2.4173955050000018,1.3125,256.2136292991479,0.056897746999993615,397.125,256.21362929914784,0.0005176060000167126,1.875,256.2136292991479,0.0009903579999956946,1.875
10,1,283.2905015311386,3.398600047000002,1.03125,283.2905015311386,0.0577848369999856,396.9140625,296.9081808288001,0.0005141409999964708,1.875,283.2905015311386,0.0019298939999998765,1.875
10,2,265.2548436228377,2.2912096450000092,1.03125,265.25484362283765,0.061232723000017586,396.9140625,289.6573842160809,0.0005178180000200427,1.875,265.2548436228377,0.002408419000005324,1.875
10,3,334.56874879138286,2.289605478999988,1.03125,334.56874879138286,0.07389033199999062,396.9140625,338.1264058809693,0.0005084879999799341,1.875,334.56874879138286,0.0019379860000015015,1.875
10,4,274.8104393739127,2.2797093120000227,1.03125,274.8104393739127,0.056919077000003426,396.9140625,274.8104393739127,0.0005468729999904554,1.875,274.8104393739127,0.0009872289999748318,1.875
10,5,272.93568557358543,2.5592747830000064,1.03125,272.9356855735854,0.10176020199997993,396.9140625,272.93568557358543,0.0008671900000081223,1.875,272.93568557358543,0.0017169950000095469,1.875
10,6,286.3503879665926,3.328432455000012,1.03125,286.35038796659256,0.05823743900000977,396.9140625,304.73289322369976,0.0005189960000109295,1.875,286.3503879665926,0.0019467220000137786,1.875
10,7,299.30360347163713,2.2990758710000136,1.03125,299.30360347163713,0.05472141000001329,396.9140625,299.30360347163713,0.0005079640000076324,1.875,299.30360347163713,0.0010114689999909388,1.875
10,8,322.37329680874194,2.5827241880000145,1.03125,322.3732968087419,0.05828092199999446,396.9140625,372.01487838126076,0.0005144819999998163,1.875,322.37329680874194,0.0019375279999849226,1.875
10,9,226.5395591301599,2.5114049139999963,1.03125,226.5395591301599,0.05580493599998704,396.9140625,226.53955913015983,0.00052187099998946,1.875,226.5395591301599,0.0009868479999965984,1.875
